u,g,r,i,z,class
18.69142,17.53401,17.01005,16.71107,16.4677,GALAXY
21.57204,19.7081,19.43291,19.23306,19.07976,QSO
19.40311,17.68698,17.16261,16.84879,16.63099,GALAXY
20.46035,18.70098,17.53064,17.00071,16.55973,GALAXY
22.96151,21.90647,20.26617,19.1515,18.65474,GALAXY
20.75095,18.59237,17.24124,16.69877,16.34368,GALAXY
21.67325,21.84864,20.70247,19.84432,19.19115,GALAXY
23.70742,22.58461,20.90074,19.88922,19.72718,GALAXY
22.71934,22.30115,20.81355,19.93598,19.5804,GALAXY
18.45947,18.334,18.13993,17.80556,17.9518,QSO
22.01163,19.51744,17.81903,17.22109,16.85958,GALAXY
24.7799,21.31364,19.46152,18.67238,18.15467,GALAXY
23.70881,22.07082,20.657,19.72305,19.51863,GALAXY
20.03644,18.19876,17.2052,16.67122,16.27657,GALAXY
23.58785,20.6929,18.93653,18.26771,17.90318,GALAXY
23.15174,23.16782,21.77503,20.40487,19.67416,GALAXY
20.22638,20.71759,18.81851,18.25578,17.30954,GALAXY
20.64689,18.68207,17.6054,17.15566,16.7524,GALAXY
21.55886,19.52851,18.08682,17.54283,17.20168,GALAXY
19.82064,18.00263,16.95123,16.47976,16.08761,GALAXY
22.73521,21.09129,19.2676,18.51452,18.13161,GALAXY
25.15235,22.03095,20.01853,18.99224,18.42552,GALAXY
19.36618,18.31833,17.8211,17.58771,17.37454,GALAXY
20.54448,18.49332,17.63243,17.12923,16.80921,GALAXY
21.05847,18.72131,17.56058,17.09395,16.73176,GALAXY
19.42318,18.2164,17.57244,17.14712,16.86642,GALAXY
22.90138,22.46494,20.62039,19.55655,19.1082,GALAXY
22.29299,22.06651,20.13874,19.22193,18.76552,GALAXY
21.88887,19.59394,18.16672,17.59498,17.18654,GALAXY
22.38493,21.52097,19.62869,18.75504,18.33446,GALAXY
20.02813,19.53813,19.64981,19.02085,19.31928,GALAXY
22.41256,20.13327,18.51653,17.95349,17.51514,GALAXY
25.86376,22.8518,21.08215,19.99067,19.61619,GALAXY
23.24635,21.97159,20.70248,19.73662,19.20162,GALAXY
25.96689,22.45752,20.64053,19.57244,19.33228,GALAXY
20.0755,18.59934,17.62095,17.10664,16.71945,GALAXY
23.69686,22.9267,21.52552,20.25887,19.68584,GALAXY
25.30861,22.53838,21.06327,20.02916,19.53099,GALAXY
19.35589,17.61485,16.64405,16.2077,15.80667,GALAXY
21.45828,19.57848,18.10421,17.55168,17.22228,GALAXY
18.44258,17.13948,16.69938,16.46319,16.46198,GALAXY
19.52206,18.14994,17.36004,16.92026,16.60237,GALAXY
23.41844,23.05486,21.19967,19.8789,19.59708,GALAXY
19.32678,18.31597,17.88336,17.51048,17.47533,GALAXY
22.98715,21.67402,20.59566,19.78968,19.83473,GALAXY
22.47397,19.87949,18.23203,17.64952,17.26085,GALAXY
22.91164,22.75998,20.94673,19.95337,19.50899,GALAXY
20.25201,18.262,17.11358,16.64756,16.27148,GALAXY
20.45833,18.5089,17.4132,16.94276,16.59077,GALAXY
19.50691,17.47716,16.51126,16.08131,15.73413,GALAXY
23.5624,22.47657,21.47275,20.08054,19.69328,GALAXY
22.22446,21.25682,20.2263,19.81189,19.15222,GALAXY
23.75052,22.95503,20.91284,19.88239,19.29466,GALAXY
17.5272,16.21035,15.49163,15.08849,14.76232,GALAXY
23.38907,23.70233,21.55687,20.15994,19.47916,GALAXY
17.00208,14.86394,13.89125,13.41016,13.04601,GALAXY
22.70167,21.46116,19.55179,18.81246,18.34099,GALAXY
23.84496,22.60277,21.08548,20.00103,19.71011,GALAXY
24.2056,23.85381,21.32037,20.15746,19.85845,GALAXY
25.66127,21.55134,19.70938,18.98681,18.38184,GALAXY
19.57919,18.7239,18.18332,17.79597,17.71374,GALAXY
18.81224,17.47079,16.72882,16.31112,16.0441,GALAXY
19.80059,18.07866,17.12897,16.63852,16.32307,GALAXY
24.79368,21.5977,19.60225,18.62499,18.19159,GALAXY
18.86265,17.23543,16.49867,16.10479,15.92812,GALAXY
26.52279,21.52784,19.51816,18.94477,18.6769,GALAXY
20.18086,18.15598,16.92954,16.39104,16.03898,GALAXY
24.65254,23.03315,20.91263,19.66707,19.02104,GALAXY
21.27647,20.7367,20.76049,20.65644,20.31376,QSO
19.44665,18.37631,17.86821,17.46901,17.20613,GALAXY
20.78709,18.60313,17.4926,17.06006,16.60692,GALAXY
21.0195,18.79093,17.6685,17.1755,16.84888,GALAXY
21.0532,19.01188,17.70286,17.16189,16.82413,GALAXY
22.1254,20.85586,20.35465,20.13349,20.17715,QSO
21.05175,19.09575,17.9891,17.5036,17.14912,GALAXY
18.64817,17.41864,16.94412,16.58792,16.39239,GALAXY
19.93836,17.83698,16.73502,16.25718,15.85421,GALAXY
19.9371,18.3611,17.33887,16.85494,16.55845,GALAXY
19.1453,17.98599,17.42274,16.99072,16.82069,GALAXY
20.88325,18.51243,17.27713,16.69647,16.25382,GALAXY
20.23271,18.17684,17.10938,16.64266,16.2581,GALAXY
24.88097,22.80996,21.01008,19.89349,19.24171,GALAXY
24.21513,22.91525,21.1274,20.07995,19.46654,GALAXY
20.11627,19.70833,19.58312,19.68104,19.43038,QSO
19.04832,17.81307,17.20819,16.79394,16.59523,GALAXY
20.66862,18.70136,17.55462,17.06748,16.69495,GALAXY
24.50186,20.63479,18.86511,18.14416,17.75387,GALAXY
19.5961,17.60313,16.59293,16.11063,15.74851,GALAXY
22.05212,21.06207,20.19822,19.03743,18.83564,GALAXY
19.26415,17.38479,16.44904,15.98635,15.64365,GALAXY
19.80935,19.32949,19.21348,19.05381,19.02732,QSO
19.9637,18.37315,17.53262,17.12985,16.81106,GALAXY
19.08575,17.05986,16.13237,15.6801,15.35666,GALAXY
24.03044,21.58278,19.94885,19.15705,18.73436,GALAXY
23.51812,21.52045,19.94492,19.00761,18.43064,GALAXY
19.587,18.54439,17.63429,17.21947,16.83842,GALAXY
19.49322,18.30781,17.79419,17.3879,17.21612,GALAXY
20.43763,19.91869,19.82663,19.82113,19.58842,QSO
19.52334,18.39871,17.74309,17.3419,17.14171,GALAXY
19.33359,17.43778,16.45844,15.99958,15.66843,GALAXY
21.94537,21.07333,21.08125,20.82251,21.11655,QSO
22.8093,21.20707,19.3632,18.70861,18.3505,GALAXY
21.09763,19.65194,18.02706,17.4591,17.0833,GALAXY
21.32706,18.9598,17.46296,16.90581,16.52745,GALAXY
21.77224,19.87613,18.37654,17.79854,17.41569,GALAXY
24.85087,22.23201,20.40632,19.53075,19.11594,GALAXY
23.57879,23.44713,21.07885,19.70798,19.19452,GALAXY
22.68364,21.69206,21.52024,21.50906,20.97544,QSO
23.64002,22.23954,20.09986,19.17144,18.64403,GALAXY
19.97693,17.91053,17.15191,16.80295,16.50535,GALAXY
20.7016,18.59862,17.38231,16.87008,16.47159,GALAXY
19.57626,18.18209,17.51374,17.10091,16.85323,GALAXY
23.84738,22.00535,20.61122,19.56518,18.98821,GALAXY
19.95983,18.19016,17.37882,17.03537,16.73368,GALAXY
22.5461,21.90852,20.18708,19.04712,18.55213,GALAXY
23.39613,20.68164,18.90805,18.22781,17.89199,GALAXY
21.91276,20.05758,18.43708,17.84183,17.50712,GALAXY
24.1286,22.69829,21.18747,20.10393,19.56381,GALAXY
21.85223,19.7333,18.26173,17.6782,17.27253,GALAXY
24.08546,21.73475,20.16121,19.3295,18.82967,GALAXY
22.38785,21.48004,19.94345,19.11098,18.65306,GALAXY
24.79543,21.38605,19.46626,18.83945,18.37256,GALAXY
19.35721,17.9652,17.3383,16.99301,16.75746,GALAXY
19.25787,17.33267,16.41638,15.98221,15.64742,GALAXY
22.04205,21.56769,19.62916,18.90657,18.55882,GALAXY
20.51571,19.76607,19.48476,19.429,19.26942,QSO
25.59338,23.08536,21.51633,20.22817,19.83453,GALAXY
22.26236,22.5195,20.76878,19.879,19.26241,GALAXY
19.75803,19.18165,19.13386,19.00702,19.05288,QSO
22.80215,21.1907,19.24369,18.4457,17.91007,GALAXY
21.36081,20.63453,19.94167,19.61345,18.97539,QSO
22.66029,22.49046,20.52354,19.42411,18.77465,GALAXY
25.71571,23.91249,21.97834,20.6239,20.0805,GALAXY
19.46418,18.18091,17.38156,16.92801,16.5897,GALAXY
21.7237,20.6987,20.58357,20.35971,20.27752,QSO
21.5217,18.44511,17.09836,16.53124,16.10748,GALAXY
22.07421,20.56452,18.85448,18.2291,17.85032,GALAXY
25.83326,20.8271,19.00548,18.43356,18.06262,GALAXY
20.57687,20.02549,19.75081,19.73839,19.50648,QSO
22.45843,20.1432,18.49245,17.85035,17.45747,GALAXY
23.02525,22.11376,20.61029,19.64298,19.16257,GALAXY
19.95174,19.42667,18.91183,18.77491,18.63732,QSO
23.19041,23.28016,21.34081,20.05335,19.57984,GALAXY
21.60419,20.94763,20.94336,20.86407,20.54598,QSO
18.77256,17.31462,16.65223,16.28166,15.98279,GALAXY
20.06702,19.86376,19.84645,19.74315,19.63424,QSO
23.09866,22.62351,21.15423,19.83872,19.32169,GALAXY
23.81938,23.33009,21.4752,19.90825,19.49359,GALAXY
22.09798,23.21156,21.03559,19.85418,19.37128,GALAXY
24.34809,22.65417,20.95518,20.04516,19.49731,GALAXY
21.44359,18.65669,17.13267,16.56379,16.18165,GALAXY
25.82332,22.96432,21.39293,20.2015,19.62873,GALAXY
20.40017,18.4565,17.34877,16.89386,16.52809,GALAXY
24.07493,21.70732,19.77995,19.0761,18.70036,GALAXY
22.89235,20.01233,18.39449,17.78594,17.42373,GALAXY
21.9689,20.37853,19.57015,19.2868,19.16244,GALAXY
25.80415,22.39483,20.66959,19.60179,19.31532,GALAXY
19.70558,19.31623,19.25665,19.30379,19.12567,QSO
20.48389,18.49407,17.27343,16.68992,16.23025,GALAXY
20.35266,18.5058,17.30794,16.7812,16.36263,GALAXY
18.8677,17.01419,16.12366,15.71118,15.40239,GALAXY
23.48709,20.6861,19.08381,18.47645,18.14417,GALAXY
19.99784,18.12518,17.23055,16.78892,16.47437,GALAXY
20.94534,18.3941,17.24122,16.61837,16.14551,GALAXY
23.4593,21.36759,19.52564,18.83821,18.40221,GALAXY
24.4803,22.92148,20.9425,20.75131,19.43712,GALAXY
18.83873,17.71466,17.27794,16.98247,16.77042,GALAXY
25.5843,23.17826,20.88305,19.95239,19.34486,GALAXY
23.27395,21.78626,19.83527,19.12941,18.76792,GALAXY
23.16183,20.66831,18.89666,18.17068,17.72619,GALAXY
22.39577,22.55271,20.71286,19.66885,19.23322,GALAXY
26.05878,22.33008,20.29701,19.04554,18.3699,GALAXY
24.93885,21.17839,20.41263,20.26502,20.17491,QSO
18.35343,16.54339,15.61001,15.12328,14.7515,GALAXY
24.14584,22.39191,20.69586,19.67878,19.01073,GALAXY
19.79911,18.2842,17.60734,17.3012,17.05033,GALAXY
22.10312,21.3356,21.27131,21.18286,20.79017,QSO
19.15034,17.32987,16.53035,16.11392,15.82345,GALAXY
21.52956,20.96993,20.86663,20.91565,20.65332,QSO
19.96717,17.7162,16.50553,15.98275,15.59186,GALAXY
18.75803,17.63581,17.23229,16.95002,16.773,GALAXY
23.42806,22.18262,20.44741,19.39578,19.11047,GALAXY
23.27316,22.78507,20.765,19.55789,19.20259,GALAXY
20.05107,19.68526,19.46498,19.21509,19.18748,QSO
23.77719,22.11946,20.54039,19.60831,19.04282,GALAXY
19.21984,17.91753,17.30638,16.8953,16.65757,GALAXY
20.14349,18.36833,17.42387,17.00277,16.68958,GALAXY
24.83309,22.8952,21.40295,20.37011,19.77728,GALAXY
18.83669,18.24646,17.73242,17.25826,17.15354,QSO
24.29267,23.37183,21.29899,20.13345,19.59186,GALAXY
24.28052,23.4558,21.08125,20.08795,19.56794,GALAXY
19.54885,18.33315,17.67432,17.24896,16.97948,GALAXY
19.26322,17.29597,16.37626,15.93663,15.63792,GALAXY
19.63418,17.68994,16.68034,16.23564,15.8861,GALAXY
25.96409,22.14851,20.38111,19.35187,18.82799,GALAXY
20.4496,18.41036,17.30249,16.81715,16.40143,GALAXY
23.85512,21.50688,19.94791,19.11555,18.71587,GALAXY
19.28286,17.38029,16.46765,16.03454,15.70917,GALAXY
19.0687,17.69463,17.0949,16.71978,16.52462,GALAXY
18.36808,17.00109,16.36859,15.99613,15.73364,GALAXY
24.09108,21.90646,20.55885,20.17342,19.79466,GALAXY
23.31309,21.43895,20.69616,20.10104,19.62577,GALAXY
23.00319,21.52093,19.61452,18.89067,18.3526,GALAXY
18.77261,17.46577,17.12806,16.92377,16.78381,GALAXY
20.49735,18.62821,17.40469,16.89252,16.4702,GALAXY
21.6379,20.76598,20.33047,20.09678,19.89474,GALAXY
19.66722,18.57231,17.95716,17.64695,17.47929,GALAXY
23.29837,19.05938,17.79167,17.23507,16.90499,GALAXY
20.3472,19.75898,19.53278,19.56887,19.51952,QSO
20.99603,18.95527,17.71162,17.15195,16.72956,GALAXY
19.61031,18.06055,17.06426,16.61764,16.27921,GALAXY
18.58886,16.60615,15.68903,15.25189,14.92297,GALAXY
20.38727,19.83973,19.73159,19.65067,19.47785,QSO
19.62119,17.64373,16.65749,16.09536,15.69164,GALAXY
19.52789,17.57775,16.63182,16.19422,15.83456,GALAXY
21.9165,20.58726,19.90692,19.61412,19.42237,GALAXY
18.5664,16.88487,15.95432,15.47709,15.11635,GALAXY
18.63598,16.74531,15.7839,15.3248,14.96499,GALAXY
26.43809,23.31025,21.71834,20.04567,19.4384,GALAXY
21.4251,20.10003,19.91681,19.88785,19.9435,QSO
23.0447,22.08227,22.14883,21.78867,21.82201,QSO
23.48057,22.6029,21.00893,20.14839,19.64406,GALAXY
20.25434,18.48331,17.61127,17.11855,16.78851,GALAXY
26.09728,22.37843,20.93388,19.90287,19.17963,GALAXY
18.65742,17.75579,17.28978,16.9428,16.7543,GALAXY
23.36215,21.31185,19.49149,18.72661,18.30296,GALAXY
22.7841,20.97239,19.21531,18.43535,18.03958,GALAXY
24.17697,22.48865,20.70151,19.77909,19.09062,GALAXY
24.66027,23.01279,20.70885,19.74802,19.31321,GALAXY
21.37359,20.30452,19.73663,19.26258,19.23033,GALAXY
20.08711,18.55612,17.54042,17.07714,16.73042,GALAXY
26.49454,22.12287,20.91887,19.84956,19.45717,GALAXY
19.17672,18.01419,17.54175,17.46432,17.01472,GALAXY
20.67386,18.50219,17.52138,17.05619,16.68399,GALAXY
20.50232,20.38324,20.05514,20.02746,20.09554,GALAXY
23.68373,20.50966,18.77966,18.15117,17.72853,GALAXY
23.08262,21.99634,20.67587,19.74703,19.57317,GALAXY
24.3131,21.599,20.32907,19.29527,18.79525,GALAXY
20.25539,18.71115,17.77019,17.34428,16.97076,GALAXY
21.79609,19.72296,19.05582,18.28544,17.99954,GALAXY
22.54466,23.05481,22.39575,20.56692,21.19082,QSO
22.69592,21.76314,21.62592,21.63112,21.56053,QSO
25.50504,21.22363,19.4342,18.69633,18.40031,GALAXY
23.88831,20.79599,19.01746,18.37581,18.09303,GALAXY
19.6903,17.69184,16.77174,16.32761,16.02476,GALAXY
20.34878,18.7638,17.97658,17.56668,17.29806,GALAXY
25.41514,21.98243,20.41636,19.61506,19.20313,GALAXY
26.37939,21.34773,19.46918,18.6646,18.11419,GALAXY
23.22093,22.27981,20.50701,19.50479,19.0696,GALAXY
20.38786,18.51005,17.4211,16.95591,16.61685,GALAXY
20.48771,18.61705,17.49228,16.9863,16.62862,GALAXY
19.81367,19.37843,18.8858,18.68205,18.55757,QSO
19.85939,18.58321,18.06706,17.70127,17.48299,GALAXY
19.14333,17.43767,16.64221,16.19897,15.88653,GALAXY
21.10178,20.87836,19.72717,18.90934,18.49726,GALAXY
20.72505,18.71284,17.71713,17.28172,16.87927,GALAXY
19.47715,18.09879,17.35394,16.90334,16.60784,GALAXY
24.31009,22.64019,21.21872,20.10043,19.58265,GALAXY
22.97603,21.87376,19.74545,19.11766,18.87305,GALAXY
23.38548,19.85909,18.36369,17.76693,17.47289,GALAXY
19.83558,18.02777,17.14123,16.69308,16.36217,GALAXY
20.60314,18.83183,17.89092,17.40408,17.00753,GALAXY
25.31494,21.69621,19.96637,19.09911,18.71123,GALAXY
23.21066,22.75751,21.01213,19.69717,19.29121,GALAXY
22.63413,22.16763,20.54994,19.69399,19.22815,GALAXY
24.65127,22.33092,20.28683,19.3431,18.97276,GALAXY
22.53276,21.15495,19.29455,18.66503,18.25321,GALAXY
20.14163,19.54391,19.27708,19.20715,18.91935,QSO
25.70817,21.13575,19.42013,18.71293,18.25,GALAXY
19.51987,17.56103,16.443,15.95302,15.57304,GALAXY
25.42461,21.77082,20.01033,19.15714,18.57101,GALAXY
20.70428,18.84842,17.83746,17.29978,16.92807,GALAXY
21.74927,19.01834,17.57781,17.00273,16.67626,GALAXY
24.62168,21.04639,19.27033,18.60256,18.23558,GALAXY
19.01472,18.88192,18.75942,18.55215,18.52826,QSO
19.53309,18.10065,17.35092,16.94015,16.65388,GALAXY
23.55397,20.60853,18.71173,18.03124,17.61456,GALAXY
20.09037,19.97971,19.95506,19.61064,19.79125,QSO
19.71366,17.729,16.73123,16.27872,15.91433,GALAXY
18.07637,16.17204,15.3183,14.88556,14.5266,GALAXY
17.04512,15.53024,14.68075,14.18423,13.7141,GALAXY
21.29298,20.62409,20.34849,20.34253,20.53073,QSO
21.94757,20.68399,18.9495,18.33853,17.86183,GALAXY
18.95134,17.93904,17.77052,17.58661,17.52196,GALAXY
25.32773,21.49234,19.65221,18.95577,18.46365,GALAXY
21.18694,19.20012,18.1793,17.71172,17.32169,GALAXY
16.83421,14.81544,13.88126,13.45248,13.0963,GALAXY
24.68085,21.98162,20.51931,19.67325,19.11095,GALAXY
22.21028,22.28466,20.64295,19.74969,19.12137,GALAXY
24.63464,25.11437,22.41951,21.63545,22.82689,QSO
21.33034,21.31892,19.94305,19.00438,18.54626,GALAXY
19.91936,18.68949,17.87573,17.50162,17.24848,GALAXY
25.26781,22.60825,20.44861,19.53756,19.01759,GALAXY
17.81369,16.59358,16.01879,15.66369,15.46189,GALAXY
17.8082,16.32846,15.56668,15.17384,14.8861,GALAXY
23.57489,22.30208,20.50401,19.59023,19.23805,GALAXY
20.56144,18.32422,17.2571,16.73565,16.31621,GALAXY
20.64072,18.5787,17.66471,17.13426,16.79765,GALAXY
22.90149,22.58502,20.86915,19.93302,19.64682,GALAXY
21.88041,21.73986,21.12318,19.85387,19.26008,GALAXY
23.54548,22.77391,21.41876,20.16763,19.70838,GALAXY
20.23577,20.22327,20.33707,20.009,19.91647,QSO
25.38509,22.59008,20.94882,19.96742,19.51205,GALAXY
20.63009,18.73313,17.5838,17.07881,16.69786,GALAXY
22.68921,20.93269,19.16676,18.45556,18.07417,GALAXY
18.80935,16.86117,15.98726,15.56717,15.25225,GALAXY
23.83475,22.20424,20.59437,19.57051,18.93061,GALAXY
22.50808,22.95921,20.56007,19.3573,18.92086,GALAXY
20.31319,18.17011,16.85127,16.30088,15.92151,GALAXY
21.48856,20.75905,20.80632,20.65785,20.28131,QSO
23.92378,22.88133,21.26823,20.02719,19.4146,GALAXY
19.40852,17.83309,17.41872,17.15289,17.08274,GALAXY
23.406,22.94595,21.25958,20.14957,19.7238,GALAXY
23.26236,21.84846,20.17763,19.23051,18.81947,GALAXY
21.58403,21.04109,20.86329,20.8751,20.26421,QSO
24.85684,22.26509,20.35,19.34157,18.84693,GALAXY
19.72728,18.39842,17.66001,17.25272,17.04525,GALAXY
20.79044,18.85301,17.75747,17.18674,16.74323,GALAXY
24.09489,22.61871,20.88438,19.92417,19.37493,GALAXY
22.332,22.08636,20.39369,19.52579,18.8431,GALAXY
25.24498,21.46889,19.94628,19.09042,18.74522,GALAXY
24.63368,23.00347,21.67082,20.33199,20.2707,GALAXY
20.19497,18.37383,17.46486,17.04033,16.71185,GALAXY
23.56278,20.44889,18.72366,18.04238,17.68583,GALAXY
21.97008,21.48101,21.3695,21.31525,20.98186,QSO
23.44376,21.67607,20.0972,19.26758,18.83086,GALAXY
19.60632,18.06809,17.24843,16.81912,16.52218,GALAXY
23.64312,21.51388,19.66808,18.93336,18.51811,GALAXY
18.91446,17.83506,17.43519,17.13525,17.02841,GALAXY
20.45031,18.41724,17.3896,16.95105,16.59001,GALAXY
23.23926,22.82086,20.80128,19.48299,19.0559,GALAXY
23.44378,21.10603,19.31065,18.69239,18.34961,GALAXY
20.52107,18.57339,17.67537,17.22352,16.88756,GALAXY
18.86671,17.40793,16.73723,16.36865,16.09072,GALAXY
20.97578,20.34935,20.09707,20.01854,19.94703,QSO
21.59892,20.52298,18.72228,18.05443,17.64855,GALAXY
23.42715,22.82026,21.101,19.89746,19.46579,GALAXY
19.36683,17.50876,16.5306,16.08192,15.72265,GALAXY
19.64434,18.0985,17.30679,16.88758,16.60515,GALAXY
23.13968,20.97556,19.23061,18.57538,18.25482,GALAXY
21.91343,21.3612,21.1972,21.20337,20.85604,QSO
20.73099,19.0896,18.26207,17.86547,17.68044,GALAXY
24.02896,21.95141,19.7669,19.04145,18.52437,GALAXY
20.61106,18.68537,17.59225,17.13267,16.72184,GALAXY
19.09967,17.78769,17.05525,16.6154,16.32607,GALAXY
20.15338,18.23167,17.27648,16.80799,16.44865,GALAXY
20.52871,19.00745,18.02769,17.54069,17.17575,GALAXY
19.74893,18.42925,17.77738,17.41747,17.13441,GALAXY
21.1026,18.938,17.68248,17.18751,16.79643,GALAXY
19.40792,17.57799,16.5872,16.0743,15.84843,GALAXY
19.31538,17.53089,16.61085,16.18218,15.8661,GALAXY
20.8941,18.56243,17.37316,16.89911,16.49525,GALAXY
19.6022,17.67085,16.76624,16.33709,16.0219,GALAXY
21.18028,19.60394,18.71305,18.17359,17.83191,GALAXY
21.26248,18.88521,17.5708,17.05971,16.63576,GALAXY
20.35039,18.18652,16.88648,16.36939,15.98839,GALAXY
21.33501,19.16535,17.867,17.34686,16.94155,GALAXY
20.3172,18.00363,16.93436,16.4373,16.06213,GALAXY
20.44513,18.03713,16.63048,16.19102,15.94081,GALAXY
19.74162,18.40923,17.35468,16.87231,16.55833,QSO
21.1897,19.34827,18.03292,17.41694,17.00257,GALAXY
19.62818,18.47395,17.90105,17.52309,17.29245,GALAXY
19.85667,18.27636,17.39831,16.92276,16.54425,GALAXY
22.61085,21.07464,20.05328,19.72151,19.45767,QSO
22.29739,20.33362,18.61481,18.06697,17.63822,GALAXY
21.4516,20.69292,20.75574,21.2335,22.82689,QSO
24.61055,20.73522,19.02475,18.4245,17.97658,GALAXY
22.03704,21.35194,21.14018,21.26341,20.93964,QSO
18.50014,17.42286,17.03657,16.76236,16.63258,GALAXY
25.65745,21.58724,19.82203,19.01988,18.61709,GALAXY
20.8885,18.77264,17.4529,16.9373,16.5647,GALAXY
21.35735,18.92938,17.65117,17.12118,16.76906,GALAXY
18.11671,16.29402,15.38975,14.93771,14.542,GALAXY
19.46763,17.45328,16.51799,16.0298,15.64404,GALAXY
24.15524,22.49812,20.58759,19.37304,19.00525,GALAXY
23.72848,20.85158,19.08935,18.4598,18.0524,GALAXY
25.27537,23.31692,21.11875,19.92436,19.42994,GALAXY
20.84401,18.84092,17.65687,17.17472,16.592,GALAXY
19.4102,18.12865,17.0548,16.59576,16.3025,GALAXY
22.66994,21.13626,19.49665,18.57577,18.0501,GALAXY
19.71156,17.53812,16.49593,16.01902,15.61191,GALAXY
22.2246,21.44117,20.34655,19.58001,19.15074,GALAXY
20.21471,19.84228,19.2674,18.8612,18.64767,QSO
20.26062,18.61442,17.70231,17.14019,16.74995,GALAXY
25.35328,21.54178,19.4257,18.72622,18.25542,GALAXY
23.68407,24.28056,21.21155,19.99377,19.27481,GALAXY
23.34748,22.34108,20.74977,19.91625,19.50487,GALAXY
20.97306,20.03958,19.97853,19.83065,19.6663,QSO
